accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	collection_date	culture_collection	death_date	disease	disease_stage	genotype	geo_loc_name	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	mouse_id
SAMN12511574	Successfully loaded	57-1	57-1_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	57-1_B6_NYU
SAMN12511575	Successfully loaded	57-2	57-2_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	57-2_B6_NYU
SAMN12511576	Successfully loaded	57-3	57-3_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	57-3_B6_NYU
SAMN12511577	Successfully loaded	57-4	57-4_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	57-4_B6_NYU
SAMN12511578	Successfully loaded	57-5	57-5_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	57-5_B6_NYU
SAMN12511579	Successfully loaded	59-1	59-1_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	59-1_B6_NYU
SAMN12511580	Successfully loaded	59-2	59-2_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	59-2_B6_NYU
SAMN12511581	Successfully loaded	59-3	59-3_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	59-3_B6_NYU
SAMN12511582	Successfully loaded	59-4	59-4_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	59-4_B6_NYU
SAMN12511583	Successfully loaded	59-5	59-5_B6_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	59-5_B6_NYU
SAMN12511584	Successfully loaded	61-1	61-1_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	61-1_NOD2_NYU
SAMN12511585	Successfully loaded	61-2	61-2_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	61-2_NOD2_NYU
SAMN12511586	Successfully loaded	61-3	61-3_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	61-3_NOD2_NYU
SAMN12511587	Successfully loaded	61-4	61-4_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	61-4_NOD2_NYU
SAMN12511588	Successfully loaded	64-1	64-1_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	64-1_NOD2_NYU
SAMN12511589	Successfully loaded	64-2	64-2_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	64-2_NOD2_NYU
SAMN12511590	Successfully loaded	64-3	64-3_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	64-3_NOD2_NYU
SAMN12511591	Successfully loaded	64-4	64-4_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	64-4_NOD2_NYU
SAMN12511592	Successfully loaded	64-5	64-5_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	64-5_NOD2_NYU
SAMN12511593	Successfully loaded	65-1	65-1_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	65-1_NOD2_NYU
SAMN12511594	Successfully loaded	65-2	65-2_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	65-2_NOD2_NYU
SAMN12511595	Successfully loaded	65-3	65-3_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	65-3_NOD2_NYU
SAMN12511596	Successfully loaded	65-4	65-4_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	65-4_NOD2_NYU
SAMN12511597	Successfully loaded	65-5	65-5_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	65-5_NOD2_NYU
SAMN12511598	Successfully loaded	66-1	66-1_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	66-1_NOD2_NYU
SAMN12511599	Successfully loaded	66-2	66-2_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	66-2_NOD2_NYU
SAMN12511600	Successfully loaded	66-3	66-3_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	66-3_NOD2_NYU
SAMN12511601	Successfully loaded	66-4	66-4_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	66-4_NOD2_NYU
SAMN12511602	Successfully loaded	66-5	66-5_NOD2_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	66-5_NOD2_NYU
SAMN12511603	Successfully loaded	31-27	31-27_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	31-27_AtgW_NYU
SAMN12511604	Successfully loaded	31-29	31-29_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	31-29_AtgW_NYU
SAMN12511605	Successfully loaded	31-31	31-31_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	31-31_AtgW_NYU
SAMN12511606	Successfully loaded	31-80	31-80_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	31-80_AtgW_NYU
SAMN12511607	Successfully loaded	31-90	31-90_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	31-90_AtgW_NYU
SAMN12511608	Successfully loaded	32-1	32-1_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	32-1_AtgW_NYU
SAMN12511609	Successfully loaded	32-2	32-2_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	32-2_AtgW_NYU
SAMN12511610	Successfully loaded	32-5	32-5_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	32-5_AtgW_NYU
SAMN12511611	Successfully loaded	32-8	32-8_AtgW_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	32-8_AtgW_NYU
SAMN12511612	Successfully loaded	70-1	70-1_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	70-1_AtgE_NYU
SAMN12511613	Successfully loaded	70-2	70-2_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	70-2_AtgE_NYU
SAMN12511614	Successfully loaded	70-3	70-3_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		NA	stool															NA												Fecal material was obtained after 8weeks from lab or rewilded mice	70-3_AtgE_NYU
SAMN12511615	Successfully loaded	70-7	70-7_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	70-7_AtgE_NYU
SAMN12511616	Successfully loaded	70-9	70-9_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	70-9_AtgE_NYU
SAMN12511617	Successfully loaded	02-3	02-3_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	02-3_AtgE_NYU
SAMN12511618	Successfully loaded	02-4	02-4_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	02-4_AtgE_NYU
SAMN12511619	Successfully loaded	02-7	02-7_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	02-7_AtgE_NYU
SAMN12511620	Successfully loaded	02-8	02-8_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	02-8_AtgE_NYU
SAMN12511621	Successfully loaded	02-9	02-9_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	02-9_AtgE_NYU
SAMN12511622	Successfully loaded	76-1	76-1_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	76-1_AtgE_NYU
SAMN12511623	Successfully loaded	76-2	76-2_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	76-2_AtgE_NYU
SAMN12511624	Successfully loaded	76-3	76-3_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	76-3_AtgE_NYU
SAMN12511625	Successfully loaded	76-4	76-4_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	76-4_AtgE_NYU
SAMN12511626	Successfully loaded	76-5	76-5_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	76-5_AtgE_NYU
SAMN12511627	Successfully loaded	71-3	71-3_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	71-3_AtgE_NYU
SAMN12511628	Successfully loaded	71-6	71-6_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	71-6_AtgE_NYU
SAMN12511629	Successfully loaded	71-7	71-7_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	71-7_AtgE_NYU
SAMN12511630	Successfully loaded	71-8	71-8_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	71-8_AtgE_NYU
SAMN12511631	Successfully loaded	71-9	71-9_AtgE_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/+												Fecal material was obtained after 8weeks from lab or rewilded mice	71-9_AtgE_NYU
SAMN12511632	Successfully loaded	77-76	77-76_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	77-76_AtgH_NYU
SAMN12511633	Successfully loaded	77-77	77-77_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	77-77_AtgH_NYU
SAMN12511634	Successfully loaded	77-78	77-78_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	77-78_AtgH_NYU
SAMN12511635	Successfully loaded	77-79	77-79_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	77-79_AtgH_NYU
SAMN12511636	Successfully loaded	77-80	77-80_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	77-80_AtgH_NYU
SAMN12511637	Successfully loaded	82-92	82-92_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	82-92_AtgH_NYU
SAMN12511638	Successfully loaded	82-94	82-94_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	82-94_AtgH_NYU
SAMN12511639	Successfully loaded	82-5	82-5_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	82-5_AtgH_NYU
SAMN12511640	Successfully loaded	82-7	82-7_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	82-7_AtgH_NYU
SAMN12511641	Successfully loaded	82-8	82-8_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		female	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	82-8_AtgH_NYU
SAMN12511642	Successfully loaded	30-21	30-21_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-21_AtgH_NYU
SAMN12511643	Successfully loaded	30-9	30-9_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-9_AtgH_NYU
SAMN12511644	Successfully loaded	30-10	30-10_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-10_AtgH_NYU
SAMN12511645	Successfully loaded	30-33	30-33_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-33_AtgH_NYU
SAMN12511646	Successfully loaded	30-36	30-36_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	30-36_AtgH_NYU
SAMN12511647	Successfully loaded	78-84	78-84_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	78-84_AtgH_NYU
SAMN12511648	Successfully loaded	78-85	78-85_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	78-85_AtgH_NYU
SAMN12511649	Successfully loaded	86-3	86-3_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-3_AtgH_NYU
SAMN12511650	Successfully loaded	86-6	86-6_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-6_AtgH_NYU
SAMN12511651	Successfully loaded	86-7	86-7_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-7_AtgH_NYU
SAMN12511652	Successfully loaded	86-8	86-8_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-8_AtgH_NYU
SAMN12511653	Successfully loaded	86-9	86-9_AtgH_NYU		Mus musculus			C57BL/6		lab	16 weeks		male	stool															Atg16L1T300A/T300A												Fecal material was obtained after 8weeks from lab or rewilded mice	86-9_AtgH_NYU
SAMN12511654	Successfully loaded	505150	50_51_50_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_50_B6_SF
SAMN12511655	Successfully loaded	515553	51_55_53_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_55_53_B6_SF
SAMN12511656	Successfully loaded	515654	51_56_54_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_56_54_B6_SF
SAMN12511657	Successfully loaded	515255	51_52_55_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_55_B6_SF
SAMN12511658	Successfully loaded	505148	50_51_48_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_51_48_B6_SF
SAMN12511659	Successfully loaded	504849	50_48_49_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_48_49_B6_SF
SAMN12511660	Successfully loaded	505551	50_55_51_B6_SF		Mus musculus			C57BL/6		rewilded	16 weeks		male	stool															WT												Fecal material was obtained after 8weeks from lab or rewilded mice	50_55_51_B6_SF
SAMN12511661	Successfully loaded	515450	51_54_50_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_54_50_NOD2_SF
SAMN12511662	Successfully loaded	515251	51_52_51_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_52_51_NOD2_SF
SAMN12511663	Successfully loaded	515050	51_50_50_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_50_50_NOD2_SF
SAMN12511664	Successfully loaded	515048	51_50_48_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	51_50_48_NOD2_SF
SAMN12511665	Successfully loaded	504857	50_48_57_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_48_57_NOD2_SF
SAMN12511666	Successfully loaded	505750	50_57_50_NOD2_SF		Mus musculus			C57BL/6		rewilded	16 weeks		female	stool															Nod2-/-												Fecal material was obtained after 8weeks from lab or rewilded mice	50_57_50_NOD2_SF
