	15549X45	15549X11	15549X16	15549X15	15549X25	15549X20	15549X1	15549X17	15549X43	15549X29	15549X24	15549X12	15549X34	15549X39	15549X40	15549X33	15549X8	15549X46	15549X23	15549X13	15549X7	15549X10	15549X37	15549X9	15549X2	15549X41	15549X26	15549X47	15549X19	15549X32	15549X36	15549X30	15549X3	15549X5	15549X44	15549X42	15549X4	15549X38	15549X31	15549X18	15549X48	15549X21	15549X27	15549X14	15549X6	15549X28	15549X49	15549X35	15549X22
15549X45	0.0	0.6876379690949227	0.7516556291390728	0.7704194260485652	0.6291390728476821	0.8432671081677704	0.630242825607064	0.7935982339955849	0.6931567328918322	0.5883002207505519	0.8785871964679912	0.7615894039735099	0.5772626931567328	0.630242825607064	0.7339955849889624	0.6280353200883002	0.8344370860927153	0.6059602649006622	0.7913907284768212	0.782560706401766	0.6799116997792495	0.8399558498896247	0.6136865342163356	0.9359823399558499	0.7284768211920529	0.5794701986754967	0.6026490066225165	0.5055187637969095	0.7660044150110376	0.6456953642384106	0.6136865342163356	0.6037527593818984	0.6534216335540839	0.5662251655629139	0.5584988962472406	0.6269315673289183	0.7350993377483444	0.6070640176600441	0.6048565121412803	0.7086092715231788	0.5684326710816777	0.9536423841059603	0.6048565121412803	0.9172185430463576	0.8830022075055187	0.6048565121412803	0.46688741721854304	0.5397350993377483	0.8874172185430463
15549X11	0.6876379690949227	0.0	0.5894039735099338	0.7461368653421634	0.7671081677704195	0.6699779249448123	0.5584988962472406	0.8222958057395143	0.6655629139072847	0.7339955849889624	0.8189845474613686	0.6269315673289183	0.6280353200883002	0.7693156732891833	0.760485651214128	0.7637969094922737	0.6876379690949227	0.7306843267108167	0.6964679911699779	0.6037527593818984	0.4867549668874172	0.7792494481236203	0.6975717439293598	0.9183222958057395	0.5397350993377483	0.7527593818984547	0.7494481236203091	0.5960264900662252	0.760485651214128	0.6699779249448123	0.6059602649006622	0.7306843267108167	0.6313465783664459	0.4977924944812362	0.6843267108167771	0.6070640176600441	0.565121412803532	0.7549668874172185	0.6015452538631346	0.6467991169977925	0.6313465783664459	0.9481236203090507	0.7571743929359823	0.7660044150110376	0.8675496688741722	0.5662251655629139	0.7108167770419426	0.6633554083885209	0.826710816777042
15549X16	0.7516556291390728	0.5894039735099338	0.0	0.7726269315673289	0.8145695364238411	0.6909492273730684	0.7593818984547461	0.8554083885209713	0.7902869757174393	0.8068432671081678	0.7494481236203091	0.7339955849889624	0.7229580573951435	0.8167770419426048	0.7880794701986755	0.8112582781456954	0.7958057395143487	0.7969094922737306	0.8068432671081678	0.8057395143487859	0.7350993377483444	0.8465783664459161	0.7858719646799117	0.8841059602649006	0.5949227373068433	0.7858719646799117	0.7969094922737306	0.6821192052980133	0.7858719646799117	0.7571743929359823	0.7075055187637969	0.7847682119205298	0.7317880794701986	0.5518763796909493	0.7781456953642384	0.6567328918322296	0.5927152317880795	0.8079470198675497	0.7041942604856513	0.6203090507726269	0.7119205298013245	0.9415011037527594	0.8079470198675497	0.890728476821192	0.8730684326710817	0.6600441501103753	0.7637969094922737	0.7141280353200883	0.8013245033112583
15549X15	0.7704194260485652	0.7461368653421634	0.7726269315673289	0.0	0.8830022075055187	0.7869757174392936	0.7626931567328918	0.7726269315673289	0.8322295805739515	0.869757174392936	0.8576158940397351	0.6721854304635762	0.760485651214128	0.8763796909492274	0.8410596026490066	0.8708609271523179	0.7218543046357616	0.8543046357615894	0.7836644591611479	0.7527593818984547	0.7185430463576159	0.826710816777042	0.8509933774834437	0.8962472406181016	0.7924944812362031	0.8432671081677704	0.8487858719646799	0.8289183222958058	0.7373068432671082	0.7660044150110376	0.8498896247240618	0.8487858719646799	0.7284768211920529	0.7141280353200883	0.8278145695364238	0.8543046357615894	0.6766004415011038	0.8631346578366446	0.8432671081677704	0.7836644591611479	0.8355408388520972	0.8962472406181016	0.8631346578366446	0.8807947019867549	0.8598233995584988	0.8576158940397351	0.8366445916114791	0.7715231788079471	0.8134657836644592
15549X25	0.6291390728476821	0.7671081677704195	0.8145695364238411	0.8830022075055187	0.0	0.9801324503311258	0.6843267108167771	0.9282560706401766	0.7593818984547461	0.18763796909492272	0.977924944812362	0.8278145695364238	0.5253863134657837	0.0728476821192053	0.8189845474613686	0.07505518763796909	0.869757174392936	0.39514348785871967	0.9381898454746137	0.8852097130242825	0.7373068432671082	0.890728476821192	0.6512141280353201	0.9646799116997793	0.7902869757174393	0.16777041942604856	0.13245033112582782	0.4955849889624724	0.9083885209713024	0.6942604856512141	0.48013245033112584	0.16114790286975716	0.7759381898454746	0.5883002207505519	0.5242825607064018	0.6258278145695364	0.8024282560706402	0.09933774834437085	0.4977924944812362	0.7229580573951435	0.5529801324503312	0.9911699779249448	0.217439293598234	0.9746136865342163	0.977924944812362	0.5551876379690949	0.48344370860927155	0.32560706401766004	0.9525386313465783
15549X20	0.8432671081677704	0.6699779249448123	0.6909492273730684	0.7869757174392936	0.9801324503311258	0.0	0.8057395143487859	0.6909492273730684	0.8178807947019867	0.9426048565121413	0.6335540838852097	0.7682119205298014	0.7373068432671082	0.9823399558498896	0.8388520971302428	0.9746136865342163	0.7439293598233996	0.9139072847682119	0.6600441501103753	0.8289183222958058	0.7483443708609272	0.8344370860927153	0.8830022075055187	0.9017660044150111	0.7350993377483444	0.9337748344370861	0.9558498896247241	0.8123620309050773	0.6887417218543046	0.7958057395143487	0.8013245033112583	0.9326710816777042	0.6854304635761589	0.7008830022075055	0.8454746136865342	0.7406181015452539	0.7273730684326711	0.9679911699779249	0.8002207505518764	0.7108167770419426	0.869757174392936	0.8333333333333334	0.9635761589403974	0.8134657836644592	0.7902869757174393	0.7814569536423841	0.9017660044150111	0.8377483443708609	0.7924944812362031
15549X1	0.630242825607064	0.5584988962472406	0.7593818984547461	0.7626931567328918	0.6843267108167771	0.8057395143487859	0.0	0.8642384105960265	0.6633554083885209	0.6501103752759382	0.8885209713024282	0.6777041942604857	0.6015452538631346	0.6876379690949227	0.7516556291390728	0.6821192052980133	0.7538631346578366	0.6467991169977925	0.7958057395143487	0.717439293598234	0.5309050772626932	0.8035320088300221	0.6136865342163356	0.9392935982339956	0.6655629139072847	0.6677704194260485	0.6799116997792495	0.6390728476821192	0.7869757174392936	0.6766004415011038	0.6479028697571744	0.6589403973509934	0.7019867549668874	0.5607064017660044	0.6114790286975718	0.6534216335540839	0.6688741721854304	0.67439293598234	0.6324503311258278	0.6721854304635762	0.6490066225165563	0.9668874172185431	0.6854304635761589	0.8134657836644592	0.8675496688741722	0.6467991169977925	0.6059602649006622	0.6181015452538632	0.8620309050772627
15549X17	0.7935982339955849	0.8222958057395143	0.8554083885209713	0.7726269315673289	0.9282560706401766	0.6909492273730684	0.8642384105960265	0.0	0.8896247240618101	0.8995584988962473	0.8730684326710817	0.7991169977924945	0.7549668874172185	0.9337748344370861	0.9050772626931567	0.9315673289183223	0.7185430463576159	0.9072847682119205	0.7075055187637969	0.8311258278145696	0.8311258278145696	0.8741721854304636	0.9216335540838853	0.9050772626931567	0.8554083885209713	0.9017660044150111	0.9161147902869757	0.8995584988962473	0.7152317880794702	0.8178807947019867	0.9094922737306843	0.9116997792494481	0.6412803532008831	0.8598233995584988	0.890728476821192	0.9238410596026491	0.8123620309050773	0.9315673289183223	0.8984547461368654	0.8101545253863135	0.9271523178807947	0.8785871964679912	0.9315673289183223	0.9304635761589404	0.8719646799116998	0.9072847682119205	0.8841059602649006	0.8200883002207505	0.8642384105960265
15549X43	0.6931567328918322	0.6655629139072847	0.7902869757174393	0.8322295805739515	0.7593818984547461	0.8178807947019867	0.6633554083885209	0.8896247240618101	0.0	0.717439293598234	0.8841059602649006	0.7461368653421634	0.6600441501103753	0.7682119205298014	0.5739514348785872	0.7637969094922737	0.7947019867549668	0.6821192052980133	0.8068432671081678	0.8189845474613686	0.6236203090507726	0.8123620309050773	0.5562913907284768	0.9492273730684326	0.7505518763796909	0.6754966887417219	0.7052980132450332	0.6479028697571744	0.8222958057395143	0.6026490066225165	0.6666666666666666	0.7207505518763797	0.652317880794702	0.7075055187637969	0.5607064017660044	0.652317880794702	0.7527593818984547	0.7505518763796909	0.6589403973509934	0.7130242825607064	0.7240618101545254	0.9503311258278145	0.7130242825607064	0.8311258278145696	0.8896247240618101	0.6644591611479028	0.6931567328918322	0.6810154525386314	0.8841059602649006
15549X29	0.5883002207505519	0.7339955849889624	0.8068432671081678	0.869757174392936	0.18763796909492272	0.9426048565121413	0.6501103752759382	0.8995584988962473	0.717439293598234	0.0	0.9690949227373068	0.7792494481236203	0.4878587196467991	0.1986754966887417	0.7880794701986755	0.20088300220750552	0.8344370860927153	0.35209713024282563	0.8973509933774835	0.8421633554083885	0.6975717439293598	0.8874172185430463	0.6423841059602649	0.9525386313465783	0.7582781456953642	0.18653421633554085	0.18543046357615894	0.4624724061810154	0.8973509933774835	0.6821192052980133	0.46799116997792495	0.19094922737306844	0.7494481236203091	0.5783664459161147	0.5	0.6368653421633554	0.7913907284768212	0.19426048565121412	0.4900662251655629	0.7141280353200883	0.5187637969094923	0.9911699779249448	0.22847682119205298	0.9337748344370861	0.9558498896247241	0.5353200883002207	0.445916114790287	0.31677704194260486	0.9172185430463576
15549X24	0.8785871964679912	0.8189845474613686	0.7494481236203091	0.8576158940397351	0.977924944812362	0.6335540838852097	0.8885209713024282	0.8730684326710817	0.8841059602649006	0.9690949227373068	0.0	0.8863134657836644	0.9227373068432672	0.9823399558498896	0.8940397350993378	0.9768211920529801	0.9392935982339956	0.9602649006622517	0.5386313465783664	0.9161147902869757	0.8852097130242825	0.9072847682119205	0.8807947019867549	0.9194260485651214	0.6920529801324503	0.9426048565121413	0.9701986754966887	0.8686534216335541	0.7770419426048565	0.8951434878587197	0.8532008830022075	0.9514348785871964	0.8741721854304636	0.7980132450331126	0.8741721854304636	0.7593818984547461	0.7317880794701986	0.9713024282560706	0.8509933774834437	0.7958057395143487	0.9183222958057395	0.9183222958057395	0.977924944812362	0.8763796909492274	0.8300220750551877	0.826710816777042	0.8962472406181016	0.8984547461368654	0.8068432671081678
15549X12	0.7615894039735099	0.6269315673289183	0.7339955849889624	0.6721854304635762	0.8278145695364238	0.7682119205298014	0.6777041942604857	0.7991169977924945	0.7461368653421634	0.7792494481236203	0.8863134657836644	0.0	0.6909492273730684	0.8311258278145696	0.7693156732891833	0.8289183222958058	0.7295805739514348	0.7538631346578366	0.7461368653421634	0.5154525386313465	0.6247240618101545	0.8101545253863135	0.7902869757174393	0.9050772626931567	0.7251655629139073	0.7980132450331126	0.8035320088300221	0.7682119205298014	0.6920529801324503	0.7339955849889624	0.804635761589404	0.8057395143487859	0.6986754966887417	0.652317880794702	0.7560706401766004	0.8035320088300221	0.5143487858719646	0.8200883002207505	0.7980132450331126	0.7295805739514348	0.7715231788079471	0.8421633554083885	0.8167770419426048	0.8278145695364238	0.8785871964679912	0.7902869757174393	0.7737306843267108	0.7075055187637969	0.8156732891832229
15549X34	0.5772626931567328	0.6280353200883002	0.7229580573951435	0.760485651214128	0.5253863134657837	0.7373068432671082	0.6015452538631346	0.7549668874172185	0.6600441501103753	0.4878587196467991	0.9227373068432672	0.6909492273730684	0.0	0.5298013245033113	0.7483443708609272	0.5298013245033113	0.7030905077262694	0.4370860927152318	0.8013245033112583	0.7913907284768212	0.5717439293598234	0.8509933774834437	0.5938189845474614	0.9028697571743929	0.7207505518763797	0.5033112582781457	0.488962472406181	0.445916114790287	0.7649006622516556	0.5529801324503312	0.4757174392935982	0.4988962472406181	0.5551876379690949	0.5176600441501104	0.4315673289183223	0.5838852097130243	0.6865342163355408	0.4977924944812362	0.48123620309050774	0.565121412803532	0.45474613686534215	0.8741721854304636	0.488962472406181	0.8520971302428256	0.8863134657836644	0.49448123620309054	0.4613686534216336	0.38741721854304634	0.8719646799116998
15549X39	0.630242825607064	0.7693156732891833	0.8167770419426048	0.8763796909492274	0.0728476821192053	0.9823399558498896	0.6876379690949227	0.9337748344370861	0.7682119205298014	0.1986754966887417	0.9823399558498896	0.8311258278145696	0.5298013245033113	0.0	0.8123620309050773	0.02097130242825607	0.8774834437086093	0.39293598233995586	0.9437086092715232	0.8885209713024282	0.7373068432671082	0.8929359823399559	0.6545253863134658	0.9657836644591612	0.7902869757174393	0.19426048565121412	0.15121412803532008	0.5121412803532008	0.91280353200883	0.6799116997792495	0.45584988962472406	0.1390728476821192	0.7715231788079471	0.5860927152317881	0.5474613686534217	0.6534216335540839	0.8079470198675497	0.0739514348785872	0.4867549668874172	0.7240618101545254	0.5253863134657837	0.9944812362030905	0.23178807947019867	0.9757174392935982	0.9812362030905077	0.5529801324503312	0.45253863134657835	0.3543046357615894	0.9602649006622517
15549X40	0.7339955849889624	0.760485651214128	0.7880794701986755	0.8410596026490066	0.8189845474613686	0.8388520971302428	0.7516556291390728	0.9050772626931567	0.5739514348785872	0.7880794701986755	0.8940397350993378	0.7693156732891833	0.7483443708609272	0.8123620309050773	0.0	0.8101545253863135	0.8289183222958058	0.7439293598233996	0.8498896247240618	0.8554083885209713	0.6909492273730684	0.7637969094922737	0.4922737306843267	0.9481236203090507	0.7924944812362031	0.7306843267108167	0.7549668874172185	0.6997792494481236	0.7439293598233996	0.5640176600441501	0.6931567328918322	0.7660044150110376	0.6479028697571744	0.7836644591611479	0.5441501103752759	0.7196467991169978	0.7958057395143487	0.7902869757174393	0.673289183222958	0.7935982339955849	0.7384105960264901	0.9679911699779249	0.760485651214128	0.8156732891832229	0.8940397350993378	0.6865342163355408	0.7196467991169978	0.7483443708609272	0.9260485651214128
15549X33	0.6280353200883002	0.7637969094922737	0.8112582781456954	0.8708609271523179	0.07505518763796909	0.9746136865342163	0.6821192052980133	0.9315673289183223	0.7637969094922737	0.20088300220750552	0.9768211920529801	0.8289183222958058	0.5298013245033113	0.02097130242825607	0.8101545253863135	0.0	0.8741721854304636	0.39183222958057395	0.934878587196468	0.8841059602649006	0.7317880794701986	0.891832229580574	0.6479028697571744	0.9646799116997793	0.7880794701986755	0.19757174392935983	0.152317880794702	0.5066225165562914	0.9139072847682119	0.6810154525386314	0.45253863134657835	0.13245033112582782	0.7704194260485652	0.5783664459161147	0.5419426048565121	0.6490066225165563	0.8013245033112583	0.0739514348785872	0.48233995584988965	0.7218543046357616	0.522075055187638	0.9900662251655629	0.23509933774834438	0.9713024282560706	0.9768211920529801	0.5518763796909493	0.45695364238410596	0.3565121412803532	0.9536423841059603
15549X8	0.8344370860927153	0.6876379690949227	0.7958057395143487	0.7218543046357616	0.869757174392936	0.7439293598233996	0.7538631346578366	0.7185430463576159	0.7947019867549668	0.8344370860927153	0.9392935982339956	0.7295805739514348	0.7030905077262694	0.8774834437086093	0.8289183222958058	0.8741721854304636	0.0	0.8487858719646799	0.8145695364238411	0.7571743929359823	0.7019867549668874	0.7350993377483444	0.8532008830022075	0.9017660044150111	0.7737306843267108	0.8664459161147903	0.8587196467991169	0.8498896247240618	0.7461368653421634	0.7582781456953642	0.8322295805739515	0.8532008830022075	0.7196467991169978	0.7748344370860927	0.8200883002207505	0.8609271523178808	0.7130242825607064	0.8741721854304636	0.8399558498896247	0.7781456953642384	0.8487858719646799	0.8785871964679912	0.8763796909492274	0.8830022075055187	0.8807947019867549	0.8377483443708609	0.826710816777042	0.7626931567328918	0.8554083885209713
15549X46	0.6059602649006622	0.7306843267108167	0.7969094922737306	0.8543046357615894	0.39514348785871967	0.9139072847682119	0.6467991169977925	0.9072847682119205	0.6821192052980133	0.35209713024282563	0.9602649006622517	0.7538631346578366	0.4370860927152318	0.39293598233995586	0.7439293598233996	0.39183222958057395	0.8487858719646799	0.0	0.8896247240618101	0.8289183222958058	0.6964679911699779	0.8498896247240618	0.6015452538631346	0.9293598233995585	0.7538631346578366	0.36644591611479027	0.37748344370860926	0.46799116997792495	0.8818984547461368	0.6467991169977925	0.44039735099337746	0.3730684326710817	0.7273730684326711	0.5419426048565121	0.46578366445916114	0.6335540838852097	0.782560706401766	0.37748344370860926	0.45364238410596025	0.7108167770419426	0.3973509933774834	0.9701986754966887	0.3631346578366446	0.8962472406181016	0.9260485651214128	0.5143487858719646	0.38631346578366443	0.33112582781456956	0.8940397350993378
15549X23	0.7913907284768212	0.6964679911699779	0.8068432671081678	0.7836644591611479	0.9381898454746137	0.6600441501103753	0.7958057395143487	0.7075055187637969	0.8068432671081678	0.8973509933774835	0.5386313465783664	0.7461368653421634	0.8013245033112583	0.9437086092715232	0.8498896247240618	0.934878587196468	0.8145695364238411	0.8896247240618101	0.0	0.7715231788079471	0.7549668874172185	0.8311258278145696	0.8708609271523179	0.9116997792494481	0.8123620309050773	0.8973509933774835	0.9293598233995585	0.8222958057395143	0.7273730684326711	0.8543046357615894	0.826710816777042	0.9161147902869757	0.7913907284768212	0.8101545253863135	0.8167770419426048	0.8189845474613686	0.7339955849889624	0.9304635761589404	0.8278145695364238	0.8631346578366446	0.8763796909492274	0.8940397350993378	0.9403973509933775	0.7682119205298014	0.8278145695364238	0.8167770419426048	0.8752759381898455	0.8333333333333334	0.7472406181015453
15549X13	0.782560706401766	0.6037527593818984	0.8057395143487859	0.7527593818984547	0.8852097130242825	0.8289183222958058	0.717439293598234	0.8311258278145696	0.8189845474613686	0.8421633554083885	0.9161147902869757	0.5154525386313465	0.7913907284768212	0.8885209713024282	0.8554083885209713	0.8841059602649006	0.7571743929359823	0.8289183222958058	0.7715231788079471	0.0	0.6832229580573952	0.8145695364238411	0.8598233995584988	0.9050772626931567	0.7362030905077263	0.8664459161147903	0.8785871964679912	0.8300220750551877	0.7682119205298014	0.8366445916114791	0.8167770419426048	0.8543046357615894	0.7362030905077263	0.7086092715231788	0.8178807947019867	0.8344370860927153	0.6423841059602649	0.8807947019867549	0.8134657836644592	0.8664459161147903	0.8123620309050773	0.9757174392935982	0.8807947019867549	0.8112582781456954	0.8830022075055187	0.8145695364238411	0.8421633554083885	0.8311258278145696	0.8233995584988962
15549X7	0.6799116997792495	0.4867549668874172	0.7350993377483444	0.7185430463576159	0.7373068432671082	0.7483443708609272	0.5309050772626932	0.8311258278145696	0.6236203090507726	0.6975717439293598	0.8852097130242825	0.6247240618101545	0.5717439293598234	0.7373068432671082	0.6909492273730684	0.7317880794701986	0.7019867549668874	0.6964679911699779	0.7549668874172185	0.6832229580573952	0.0	0.7339955849889624	0.6633554083885209	0.9094922737306843	0.6622516556291391	0.7251655629139073	0.7196467991169978	0.6567328918322296	0.6821192052980133	0.5883002207505519	0.6401766004415012	0.7108167770419426	0.5794701986754967	0.58719646799117	0.6136865342163356	0.6434878587196468	0.6280353200883002	0.7240618101545254	0.6357615894039735	0.6766004415011038	0.6931567328918322	0.9116997792494481	0.7317880794701986	0.6854304635761589	0.8532008830022075	0.6390728476821192	0.67439293598234	0.6037527593818984	0.8642384105960265
15549X10	0.8399558498896247	0.7792494481236203	0.8465783664459161	0.826710816777042	0.890728476821192	0.8344370860927153	0.8035320088300221	0.8741721854304636	0.8123620309050773	0.8874172185430463	0.9072847682119205	0.8101545253863135	0.8509933774834437	0.8929359823399559	0.7637969094922737	0.891832229580574	0.7350993377483444	0.8498896247240618	0.8311258278145696	0.8145695364238411	0.7339955849889624	0.0	0.826710816777042	0.37748344370860926	0.8311258278145696	0.8763796909492274	0.8807947019867549	0.8222958057395143	0.7406181015452539	0.782560706401766	0.8035320088300221	0.8807947019867549	0.7240618101545254	0.7902869757174393	0.8233995584988962	0.8278145695364238	0.8189845474613686	0.8863134657836644	0.7814569536423841	0.8675496688741722	0.8377483443708609	0.9403973509933775	0.891832229580574	0.8167770419426048	0.8388520971302428	0.7891832229580574	0.8565121412803532	0.8200883002207505	0.48233995584988965
15549X37	0.6136865342163356	0.6975717439293598	0.7858719646799117	0.8509933774834437	0.6512141280353201	0.8830022075055187	0.6136865342163356	0.9216335540838853	0.5562913907284768	0.6423841059602649	0.8807947019867549	0.7902869757174393	0.5938189845474614	0.6545253863134658	0.4922737306843267	0.6479028697571744	0.8532008830022075	0.6015452538631346	0.8708609271523179	0.8598233995584988	0.6633554083885209	0.826710816777042	0.0	0.9415011037527594	0.7549668874172185	0.5783664459161147	0.5794701986754967	0.5375275938189845	0.8300220750551877	0.46688741721854304	0.5408388520971302	0.5971302428256071	0.6534216335540839	0.6158940397350994	0.3852097130242826	0.5253863134657837	0.7770419426048565	0.6335540838852097	0.5253863134657837	0.6236203090507726	0.5750551876379691	0.9735099337748344	0.5916114790286976	0.9116997792494481	0.9050772626931567	0.5331125827814569	0.5684326710816777	0.5938189845474614	0.9326710816777042
15549X9	0.9359823399558499	0.9183222958057395	0.8841059602649006	0.8962472406181016	0.9646799116997793	0.9017660044150111	0.9392935982339956	0.9050772626931567	0.9492273730684326	0.9525386313465783	0.9194260485651214	0.9050772626931567	0.9028697571743929	0.9657836644591612	0.9481236203090507	0.9646799116997793	0.9017660044150111	0.9293598233995585	0.9116997792494481	0.9050772626931567	0.9094922737306843	0.37748344370860926	0.9415011037527594	0.0	0.9205298013245033	0.9525386313465783	0.9514348785871964	0.9183222958057395	0.8940397350993378	0.9216335540838853	0.9403973509933775	0.9481236203090507	0.8951434878587197	0.8598233995584988	0.9260485651214128	0.9426048565121413	0.8785871964679912	0.9602649006622517	0.9271523178807947	0.8984547461368654	0.9083885209713024	0.9437086092715232	0.9657836644591612	0.9260485651214128	0.8211920529801324	0.9359823399558499	0.934878587196468	0.8984547461368654	0.4757174392935982
