Sample Number,Sample name
1,71_3_lab_Atg(E)
2,71_6_lab_Atg(E)
3,71_7_lab_Atg(E)
4,71_8_lab_Atg(E) 
5,71_9_lab_Atg(E) 
6,76_1_lab_Atg(E) 
7,76_2_lab_Atg(E) 
8,76_3_lab_Atg(E) 
9,76_4_lab_Atg(E) 
10,76_5_lab_Atg(E) 
11,30_10_lab_Atg(H) 
12,30_21_lab_Atg(H) 
13,30_33_lab_Atg(H) 
14,30_36_lab_Atg(H) 
15,30_9_lab_Atg(H) 
16,78_84_lab_Atg(H) 
17,78_85_lab_Atg(H) 
18,86_3_lab_Atg(H) 
19,86_6_lab_Atg(H) 
20,86_7_lab_Atg(H) 
21,86_8_lab_Atg(H) 
22,86_9_lab_Atg(H) 
23,32_1_lab_Atg(W) 
24,32_2_lab_Atg(W) 
25,32_5_lab_Atg(W) 
26,32_8_lab_Atg(W) 
27,61_1_lab_NOD2 
28,61_2_lab_NOD2 
29,61_3_lab_NOD2 
30,61_4_lab_NOD2 
31,66_1_lab_NOD2 
32,66_2_lab_NOD2 
33,66_3_lab_NOD2 
34,66_4_lab_NOD2 
35,66_5_lab_NOD2 
36,59_1_lab_B6 
37,59_2_lab_B6 
38,59_3_lab_B6 
39,59_4_lab_B6 
40,59_5_lab_B6 
41,504954_Atg(W)
42,505048_Atg(W)
43,505049_Atg(W)
44,505150_B6
45,505452_Atg(W)
46,505551_B6
47,505749_Atg(W)
48,514857_Atg(W)
49,515157_Atg(W)
50,515353_Atg(W)
51,515654_B6
52,515255_B6
53,505050_NOD2
54,505057_NOD2
55,505750_NOD2
56,514851_NOD2
57,514855_NOD2
58,515050_NOD2
59,515055_NOD2
60,515152_NOD2
61,515249_NOD2
62,515250_NOD2
63,515251_NOD2
64,515450_NOD2
65,515753_NOD2
66,505054_Atg(E)
67,505349_Atg(E)
68,505350_Atg(E)
69,505556_Atg(E)
70,505748_Atg(E)
71,515057_Atg(E)
72,515357_Atg(E)
73,515550_Atg(E)
74,515749_Atg(E)
75,505149_Atg(H)
76,505751_Atg(H)
77,505756_Atg(H)
78,514957_Atg(H)
79,515056_Atg(H)
80,515149_Atg(H)
81,515155_Atg(H)
82,515350_Atg(H)
83,515652_Atg(H)
84,515757_Atg(H)
85,505449_Atg(E)
86,505248_NOD2